code,name,lecturer,description,ects
CS3D2,3D2 MICROPROCESSOR SYSTEMS 2,CS3D2,CS3D2,0
CS3D3,3D3 COMPUTER NETWORKS,CS3D3,CS3D3,0
CS3D4,3D4 OPERATING SYSTEMS AND CONCURRENT SYSTEMS,CS3D4,CS3D4,0
CS3D5A,3D5A DATA STRUCTURES AND ALGORITHMS,CS3D5A,CS3D5A,0
CS3D5B,3D5B SOFTWARE DESIGN AND IMPLEMENTATION,CS3D5B,CS3D5B,0
MA3E1,3E1 ENGINEERING MATHEMATICS V,MA3E1,MA3E1,0
ME3E2,3E2 NUMERICAL METHODS,ME3E2,ME3E2,0
EE3E3,3E3 PROBABILITY AND STATISTICS,EE3E3,EE3E3,0
EEU33E03,3E3 PROBABILITY AND STATISTICS,EEU33E03,EEU33E03,0
CE3E4,3E4 INNOVATION AND ENTREPRENEURSHIP FOR ENGINEERS,CE3E4,CE3E4,0
CEU33E04,3E4 INNOVATION AND ENTREPRENEURSHIP FOR ENGINEERS,CEU33E04,CEU33E04,0
ME3MM1,3MEMS1 MANUFACTURING TECHNOLOGY II,ME3MM1,ME3MM1,0
MEU33EM1,3MEMS1 MANUFACTURING TECHNOLOGY II,MEU33EM1,MEU33EM1,0
ME3MM3,3MEMS3 DESIGN II,ME3MM3,ME3MM3,0
MEU33EM3,3MEMS3 DESIGN II,MEU33EM3,MEU33EM3,0
ME3MM5,3MEMS5 OPERATIONS AND PROJECT MANAGEMENT,ME3MM5,ME3MM5,0
MEU33EM5,3MEMS5 OPERATIONS AND PROJECT MANAGEMENT,MEU33EM5,MEU33EM5,0
CE4A1,4A1 CIVIL ENGINEERING MATERIALS,CE4A1,CE4A1,0
CEU44A01,4A1 CIVIL ENGINEERING MATERIALS,CEU44A01,CEU44A01,0
CE4A2,4A2 HYDROGEOLOGY AND ENGINEERING GEOLOGY,CE4A2,CE4A2,0
CEU44A02,4A2 HYDROGEOLOGY AND ENGINEERING GEOLOGY,CEU44A02,CEU44A02,0
CEU44A31,4A31 ENVIRONENTAL ENGINEERING 1,CEU44A31,CEU44A31,0
CE4A31,4A31 ENVIRONMENTAL ENGINEERING 1,CE4A31,CE4A31,0
CE4A32,4A32 ENVIRONMENTAL ENGINEERING 2,CE4A32,CE4A32,0
CE4A4,4A4 HYDRAULICS,CE4A4,CE4A4,0
CEU44A04,4A4 HYDRAULICS,CEU44A04,CEU44A04,0
CE4A51,4A51 GEOTECHNICAL ENGINEERING 1,CE4A51,CE4A51,0
CEU44A51,4A51 GEOTECHNICAL ENGINEERING 1,CEU44A51,CEU44A51,0
